graphid,repeatid,vertices, edges, ticks, min-degree, d-bound, nodes-deleted
74,4,100,2,1,1,100,0
75,0,100,2,6,1,100,0
75,1,100,2,1,1,100,0
75,2,100,2,1,1,100,0
75,3,100,2,1,1,100,0
75,4,100,2,2,1,100,0
76,0,100,2,6,1,100,0
76,1,100,2,1,1,100,0
76,2,100,2,2,1,100,0
76,3,100,2,2,1,100,0
76,4,100,2,1,1,100,0
77,0,100,2,6,1,100,0
77,1,100,2,1,1,100,0
77,2,100,2,2,1,100,0
77,3,100,2,1,1,100,0
77,4,100,2,1,1,100,0
78,0,100,2,6,1,100,0
78,1,100,2,1,1,100,0
78,2,100,2,1,1,100,0
78,3,100,2,1,1,100,0
78,4,100,2,1,1,100,0
79,0,100,2,7,1,100,0
79,1,100,2,1,1,100,0
79,2,100,2,3,1,100,0
79,3,100,2,1,1,100,0
79,4,100,2,2,1,100,0
80,0,100,2,7,1,100,0
80,1,100,2,1,1,100,0
80,2,100,2,1,1,100,0
80,3,100,2,1,1,100,0
80,4,100,2,4,1,100,0
81,0,100,2,7,1,100,0
81,1,100,2,4,1,100,0
81,2,100,2,1,1,100,0
81,3,100,2,2,1,100,0
81,4,100,2,1,1,100,0
82,0,100,2,7,1,100,0
82,1,100,2,1,1,100,0
82,2,100,2,1,1,100,0
82,3,100,2,3,1,100,0
82,4,100,2,1,1,100,0
83,0,100,2,9,1,100,0
83,1,100,2,1,1,100,0
83,2,100,2,1,1,100,0
83,3,100,2,2,1,100,0
83,4,100,2,3,1,100,0
84,0,100,2,7,1,100,0
84,1,100,2,1,1,100,0
84,2,100,2,1,1,100,0
84,3,100,2,2,1,100,0
84,4,100,2,1,1,100,0
85,0,100,2,8,1,100,0
85,1,100,2,1,1,100,0
85,2,100,2,1,1,100,0
85,3,100,2,1,1,100,0
85,4,100,2,4,1,100,0
86,0,100,2,6,1,100,0
86,1,100,2,1,1,100,0
86,2,100,2,1,1,100,0
86,3,100,2,3,1,100,0
86,4,100,2,1,1,100,0
87,0,100,2,8,1,100,0
87,1,100,2,3,1,100,0
87,2,100,2,2,1,100,0
87,3,100,2,1,1,100,0
87,4,100,2,1,1,100,0
88,0,100,2,8,1,100,0
88,1,100,2,1,1,100,0
88,2,100,2,2,1,100,0
88,3,100,2,2,1,100,0
88,4,100,2,1,1,100,0
89,0,100,2,5,1,100,0
89,1,100,2,1,1,100,0
89,2,100,2,2,1,100,0
89,3,100,2,1,1,100,0
89,4,100,2,1,1,100,0
90,0,100,2,8,1,100,0
90,1,100,2,1,1,100,0
90,2,100,2,1,1,100,0
90,3,100,2,1,1,100,0
90,4,100,2,1,1,100,0
91,0,100,2,7,1,100,0
91,1,100,2,1,1,100,0
91,2,100,2,1,1,100,0
91,3,100,2,1,1,100,0
91,4,100,2,4,1,100,0
92,0,100,2,5,1,100,0
92,1,100,2,1,1,100,0
92,2,100,2,2,1,100,0
92,3,100,2,1,1,100,0
92,4,100,2,1,1,100,0
93,0,100,2,6,1,100,0
93,1,100,2,1,1,100,0
93,2,100,2,2,1,100,0
93,3,100,2,1,1,100,0
93,4,100,2,1,1,100,0
94,0,100,2,7,1,100,0
94,1,100,2,5,1,100,0
94,2,100,2,1,1,100,0
94,3,100,2,1,1,100,0
94,4,100,2,1,1,100,0
95,0,100,2,8,1,100,0
95,1,100,2,1,1,100,0
95,2,100,2,1,1,100,0
95,3,100,2,1,1,100,0
95,4,100,2,3,1,100,0
96,0,100,2,8,1,100,0
96,1,100,2,2,1,100,0
96,2,100,2,1,1,100,0
96,3,100,2,1,1,100,0
96,4,100,2,1,1,100,0
97,0,100,2,8,1,100,0
97,1,100,2,4,1,100,0
97,2,100,2,1,1,100,0
97,3,100,2,2,1,100,0
97,4,100,2,1,1,100,0
98,0,100,2,7,1,100,0
98,1,100,2,2,1,100,0
98,2,100,2,1,1,100,0
98,3,100,2,5,1,100,0
