graphid,repeatid,vertices, edges, ticks, num-messages-sent,num-bits-sent,num-broadcasts-sent
1120,4,1000,15,33,24060,24060,820
1121,0,1000,15,36,23488,23488,805
1121,1,1000,15,138,23408,23408,795
1121,2,1000,15,66,23957,23957,815
1121,3,1000,15,78,25204,25204,860
1121,4,1000,15,45,24768,24768,834
1122,0,1000,15,39,23796,23796,809
1122,1,1000,15,132,25145,25145,860
1122,2,1000,15,45,25501,25501,863
1122,3,1000,15,54,24871,24871,841
1122,4,1000,15,27,24568,24568,830
1123,0,1000,15,108,24616,24616,841
1123,1,1000,15,93,23348,23348,792
1123,2,1000,15,84,23682,23682,800
1123,3,1000,15,51,24759,24759,840
1123,4,1000,15,45,25430,25430,863
1124,0,1000,15,45,23883,23883,811
1124,1,1000,15,45,25071,25071,845
1124,2,1000,15,54,23286,23286,794
1124,3,1000,15,60,23976,23976,812
1124,4,1000,15,63,25897,25897,888
1125,0,1000,15,51,24015,24015,809
1125,1,1000,15,36,24296,24296,826
1125,2,1000,15,66,23761,23761,810
1125,3,1000,15,54,25039,25039,857
1125,4,1000,15,69,23779,23779,811
1126,0,1000,15,54,22845,22845,782
1126,1,1000,15,36,24141,24141,823
1126,2,1000,15,39,23847,23847,817
1126,3,1000,15,48,24404,24404,831
1126,4,1000,15,78,25843,25843,874
1127,0,1000,15,42,23612,23612,799
1127,1,1000,15,78,23540,23540,796
1127,2,1000,15,111,24940,24940,851
1127,3,1000,15,33,24794,24794,837
1127,4,1000,15,42,24870,24870,850
1128,0,1000,15,30,23659,23659,807
1128,1,1000,15,42,23180,23180,789
1128,2,1000,15,27,23469,23469,798
1128,3,1000,15,45,23169,23169,789
1128,4,1000,15,39,24502,24502,825
1129,0,1000,15,36,24738,24738,846
1129,1,1000,15,54,23772,23772,819
1129,2,1000,15,78,24353,24353,830
1129,3,1000,15,57,24896,24896,849
1129,4,1000,15,60,25047,25047,852
1130,0,1000,15,57,25400,25400,862
1130,1,1000,15,39,23345,23345,796
1130,2,1000,15,30,25116,25116,844
1130,3,1000,15,45,23952,23952,809
1130,4,1000,15,51,23916,23916,816
1131,0,1000,15,60,23740,23740,808
1131,1,1000,15,48,24298,24298,815
1131,2,1000,15,33,21952,21952,750
1131,3,1000,15,48,24069,24069,826
1131,4,1000,15,138,23172,23172,790
1132,0,1000,15,156,23686,23686,809
1132,1,1000,15,66,23346,23346,793
1132,2,1000,15,72,25722,25722,874
1132,3,1000,15,81,24365,24365,832
1132,4,1000,15,48,23174,23174,791
1133,0,1000,15,33,23001,23001,781
1133,1,1000,15,66,25330,25330,857
1133,2,1000,15,45,23998,23998,814
1133,3,1000,15,33,22810,22810,776
1133,4,1000,15,48,23277,23277,791
1134,0,1000,15,51,24602,24602,838
1134,1,1000,15,51,25080,25080,852
1134,2,1000,15,69,24099,24099,807
1134,3,1000,15,78,23916,23916,813
1134,4,1000,15,102,22189,22189,758
1135,0,1000,15,54,26476,26476,905
1135,1,1000,15,57,23152,23152,794
1135,2,1000,15,78,25233,25233,854
1135,3,1000,15,81,23686,23686,799
1135,4,1000,15,57,24662,24662,838
1136,0,1000,15,45,24974,24974,848
1136,1,1000,15,54,24220,24220,823
1136,2,1000,15,36,24871,24871,848
1136,3,1000,15,36,23978,23978,820
1136,4,1000,15,33,25127,25127,860
1137,0,1000,15,45,24883,24883,844
1137,1,1000,15,36,23009,23009,792
1137,2,1000,15,147,23203,23203,792
1137,3,1000,15,78,23536,23536,803
1137,4,1000,15,54,22926,22926,780
1138,0,1000,15,42,23490,23490,790
1138,1,1000,15,36,23306,23306,790
1138,2,1000,15,42,24112,24112,814
1138,3,1000,15,72,23248,23248,790
1138,4,1000,15,42,24891,24891,843
1139,0,1000,15,45,24844,24844,843
1139,1,1000,15,96,23758,23758,804
1139,2,1000,15,30,22632,22632,761
1139,3,1000,15,30,23323,23323,792
1139,4,1000,15,54,24582,24582,836
1140,0,1000,15,48,23867,23867,813
1140,1,1000,15,78,23143,23143,792
1140,2,1000,15,45,24790,24790,833
1140,3,1000,15,57,24139,24139,831
1140,4,1000,15,45,23521,23521,798
1141,0,1000,15,51,26055,26055,882
1141,1,1000,15,36,25238,25238,866
1141,2,1000,15,57,24621,24621,838
1141,3,1000,15,45,23731,23731,808
1141,4,1000,15,48,24181,24181,824
1142,0,1000,15,45,24956,24956,847
1142,1,1000,15,48,23064,23064,783
1142,2,1000,15,72,23716,23716,805
1142,3,1000,15,39,22840,22840,779
1142,4,1000,15,66,25381,25381,862
1143,0,1000,15,45,24064,24064,809
1143,1,1000,15,33,22292,22292,758
1143,2,1000,15,51,24210,24210,820
1143,3,1000,15,39,23948,23948,809
1143,4,1000,15,36,22843,22843,785
1144,0,1000,15,51,24396,24396,823
1144,1,1000,15,36,22970,22970,776
1144,2,1000,15,39,24582,24582,834
1144,3,1000,15,21,24654,24654,829
1144,4,1000,15,69,24452,24452,837
1145,0,1000,15,48,22839,22839,770
1145,1,1000,15,36,23950,23950,811
1145,2,1000,15,78,24909,24909,842
1145,3,1000,15,66,23649,23649,807
1145,4,1000,15,57,22033,22033,747
1146,0,1000,15,45,22800,22800,777
1146,1,1000,15,90,25209,25209,863
1146,2,1000,15,57,23415,23415,808
1146,3,1000,15,57,25009,25009,853
1146,4,1000,15,51,24459,24459,826
1147,0,1000,15,81,24211,24211,815
1147,1,1000,15,57,23083,23083,791
1147,2,1000,15,33,23184,23184,787
1147,3,1000,15,93,23173,23173,790
1147,4,1000,15,36,23202,23202,790
1148,0,1000,15,93,26174,26174,881
1148,1,1000,15,39,23702,23702,805
1148,2,1000,15,54,24210,24210,829
1148,3,1000,15,75,23872,23872,808
1148,4,1000,15,57,22506,22506,768
1149,0,1000,15,42,23681,23681,802
1149,1,1000,15,27,23603,23603,803
1149,2,1000,15,69,23843,23843,808
1149,3,1000,15,33,23666,23666,803
1149,4,1000,15,39,24613,24613,846
1150,0,1000,15,39,23732,23732,812
1150,1,1000,15,93,23811,23811,814
1150,2,1000,15,39,23364,23364,792
1150,3,1000,15,60,23358,23358,793
1150,4,1000,15,39,23593,23593,805
1151,0,1000,15,60,24076,24076,820
1151,1,1000,15,57,24681,24681,843
1151,2,1000,15,54,24567,24567,835
1151,3,1000,15,63,23225,23225,785
1151,4,1000,15,30,23939,23939,819
1152,0,1000,15,60,23705,23705,799
1152,1,1000,15,24,22472,22472,763
1152,2,1000,15,39,22809,22809,779
1152,3,1000,15,66,23722,23722,815
1152,4,1000,15,42,23520,23520,793
1153,0,1000,15,36,23231,23231,785
1153,1,1000,15,63,24625,24625,834
1153,2,1000,15,27,22652,22652,772
1153,3,1000,15,48,23341,23341,798
1153,4,1000,15,57,22333,22333,755
1154,0,1000,15,66,24654,24654,854
1154,1,1000,15,27,23093,23093,786
1154,2,1000,15,57,24285,24285,827
1154,3,1000,15,51,22629,22629,769
1154,4,1000,15,42,23893,23893,814
1155,0,1000,15,51,24531,24531,832
1155,1,1000,15,42,23688,23688,805
1155,2,1000,15,45,22691,22691,776
1155,3,1000,15,42,22615,22615,776
1155,4,1000,15,39,23324,23324,787
1156,0,1000,15,51,24008,24008,814
1156,1,1000,15,51,23633,23633,803
1156,2,1000,15,48,24179,24179,816
1156,3,1000,15,45,23621,23621,801
1156,4,1000,15,102,24480,24480,829
1157,0,1000,15,42,23010,23010,781
1157,1,1000,15,45,25145,25145,850
1157,2,1000,15,60,24499,24499,843
1157,3,1000,15,45,22905,22905,776
1157,4,1000,15,57,23886,23886,812
