Precision,Recall,F1-score,True Positives,False Positives,False Negatives,AP,RR
0.05236907730673317,0.42,0.09312638580931264,21,379,29,0.10411608144276906,1.0
0.09975062344139651,0.425531914893617,0.16161616161616163,40,360,54,0.10700839081383336,0.09090909090909091
0.0399002493765586,0.25396825396825395,0.06896551724137931,16,384,47,0.04893843398405287,0.16666666666666666
0.0199501246882793,0.5714285714285714,0.03855421686746988,8,392,6,0.01598947182574677,0.017543859649122806
0.03740648379052369,0.3333333333333333,0.06726457399103139,15,385,30,0.04363565874850947,0.05555555555555555
0.014962593516209476,0.4,0.028846153846153844,6,394,9,0.016622839870988455,0.02702702702702703
0.014962593516209476,0.35294117647058826,0.028708133971291863,6,394,11,0.01757745527844236,0.01818181818181818
0.004987531172069825,0.3333333333333333,0.009828009828009826,2,398,4,0.02873134328358209,0.05
0.012468827930174564,0.38461538461538464,0.02415458937198068,5,395,8,0.013443653272690776,0.015151515151515152
0.014962593516209476,0.3333333333333333,0.028639618138424822,6,394,12,0.03280496735350995,0.038461538461538464
0.007481296758104738,0.42857142857142855,0.014705882352941178,3,397,4,0.007729244549381155,0.005555555555555556
0.0199501246882793,0.38095238095238093,0.037914691943127965,8,392,13,0.033864601652924174,0.0625
0.012468827930174564,0.29411764705882354,0.023923444976076555,5,395,12,0.02970793254030248,0.02857142857142857
0.057356608478802994,0.2804878048780488,0.09523809523809525,23,377,59,0.0847702288318044,0.09090909090909091
0.059850374064837904,0.3116883116883117,0.10041841004184102,24,376,53,0.11226829989724797,1.0
0.034912718204488775,0.32558139534883723,0.06306306306306306,14,386,29,0.11817737507681483,1.0
0.034912718204488775,0.4117647058823529,0.06436781609195402,14,386,20,0.11640008361132517,1.0
0.017456359102244388,0.25,0.032634032634032625,7,393,21,0.03951803985067295,0.09090909090909091
0.04738154613466334,0.3064516129032258,0.08207343412526998,19,381,43,0.06542307706342203,0.09090909090909091
0.02493765586034913,0.3125,0.046189376443418015,10,390,22,0.13275405443259503,1.0
0.00997506234413965,0.25,0.019184652278177457,4,396,12,0.015105662474266347,0.014492753623188406
0.02493765586034913,0.3225806451612903,0.0462962962962963,10,390,21,0.0193173880154296,0.00625
0.04239401496259352,0.3617021276595745,0.07589285714285715,17,383,30,0.10513335040360146,1.0
0.017456359102244388,0.18421052631578946,0.03189066059225512,7,393,31,0.013397699184796438,0.005780346820809248
0.014962593516209476,0.42857142857142855,0.02891566265060241,6,394,8,0.25210347124096616,1.0
0.012468827930174564,0.29411764705882354,0.023923444976076555,5,395,12,0.026986113550442337,0.045454545454545456
0.0199501246882793,0.2857142857142857,0.0372960372960373,8,392,20,0.16133385305601466,1.0
