Precision,Recall,F1-score,True Positives,False Positives,False Negatives,AP,RR
0.08728179551122195,0.3723404255319149,0.1414141414141414,35,365,59,0.08687971952714998,0.125
0.06234413965087282,0.3968253968253968,0.10775862068965517,25,375,38,0.09097716402651741,0.2
0.00997506234413965,0.2857142857142857,0.01927710843373494,4,396,10,0.014792704477427872,0.01694915254237288
0.05236907730673317,0.4666666666666667,0.09417040358744395,21,379,24,0.060657639074843325,0.16666666666666666
0.0199501246882793,0.5333333333333333,0.038461538461538464,8,392,7,0.04201362922645987,0.16666666666666666
0.017456359102244388,0.4117647058823529,0.03349282296650717,7,393,10,0.014880285119312846,0.006802721088435374
0.004987531172069825,0.3333333333333333,0.009828009828009826,2,398,4,0.006549657534246575,0.00684931506849315
0.007481296758104738,0.23076923076923078,0.014492753623188404,3,397,10,0.35024445783939456,1.0
0.014962593516209476,0.3333333333333333,0.028639618138424822,6,394,12,0.042429803200785626,0.16666666666666666
0.007481296758104738,0.42857142857142855,0.014705882352941178,3,397,4,0.00937715638925017,0.006802721088435374
0.0199501246882793,0.38095238095238093,0.037914691943127965,8,392,13,0.04779305872288165,0.16666666666666666
0.014962593516209476,0.35294117647058826,0.028708133971291863,6,394,11,0.07995790278432605,0.16666666666666666
0.06982543640897755,0.34146341463414637,0.11594202898550725,28,372,54,0.16130341073219462,1.0
0.0798004987531172,0.4155844155844156,0.13389121338912133,32,368,45,0.1178751598521042,1.0
0.0399002493765586,0.37209302325581395,0.07207207207207207,16,384,27,0.14227899463763927,1.0
0.034912718204488775,0.4117647058823529,0.06436781609195402,14,386,20,0.12759721120902354,1.0
0.02743142144638404,0.39285714285714285,0.05128205128205127,11,389,17,0.06045158337877435,0.16666666666666666
0.06234413965087282,0.4032258064516129,0.10799136069114472,25,375,37,0.15484322135696207,1.0
0.0399002493765586,0.5,0.07390300230946882,16,384,16,0.05418221615785873,0.2
0.017456359102244388,0.4375,0.03357314148681055,7,393,9,0.21258329187126446,1.0
0.032418952618453865,0.41935483870967744,0.06018518518518519,13,387,18,0.04207937487602227,0.14285714285714285
0.04239401496259352,0.3617021276595745,0.07589285714285715,17,383,30,0.06369456322788469,0.2
0.032418952618453865,0.34210526315789475,0.05922551252847381,13,387,25,0.1453612922178905,1.0
0.007481296758104738,0.21428571428571427,0.014457831325301205,3,397,11,0.07473538296355055,0.2
0.022443890274314215,0.5294117647058824,0.043062200956937795,9,391,8,0.11225243133204509,0.5
0.029925187032418952,0.42857142857142855,0.055944055944055944,12,388,16,0.043601451492152506,0.16666666666666666
0.20698254364089774,0.2730263157894737,0.2354609929078014,83,317,221,0.25916065189025655,1.0
0.12468827930174564,0.46296296296296297,0.19646365422396855,50,350,58,0.14991442726239232,1.0
0.012468827930174564,0.2777777777777778,0.02386634844868735,5,395,13,0.015833584259534208,0.0136986301369863
0.05236907730673317,0.4883720930232558,0.0945945945945946,21,379,22,0.10163662276286292,0.25
0.012468827930174564,0.5555555555555556,0.024390243902439025,5,395,4,0.016023184542916208,0.01694915254237288
0.00997506234413965,0.3333333333333333,0.01937046004842615,4,396,8,0.014289572142130917,0.01639344262295082
0.004987531172069825,0.18181818181818182,0.009708737864077669,2,398,9,0.08347676419965576,0.14285714285714285
0.00997506234413965,0.26666666666666666,0.019230769230769232,4,396,11,0.010417040036508113,0.01098901098901099
0.0024937655860349127,0.2,0.004926108374384236,1,399,4,0.00909090909090909,0.00909090909090909
0.004987531172069825,0.18181818181818182,0.009708737864077669,2,398,9,0.00973047446826832,0.006802721088435374
